LINEGEOMETRYC
IDOBJ_GID,IDOBJ_NAME,IDOBJ_ALIAS,IDOBJ_CUSTOMID,1152921504606912257,LINEGEOMETRYC_HEIGHT,LINEGEOMETRYC_NEUTRAL,LINEGEOMETRYC_PHASECOUNT,LINEGEOMETRYC_XA,LINEGEOMETRYC_YA,LINEGEOMETRYC_XB,LINEGEOMETRYC_YB,LINEGEOMETRYC_XC,LINEGEOMETRYC_YC,LINEGEOMETRYC_XN,LINEGEOMETRYC_YN
GID,Name,Alias,Custom ID,Visible en producción,Height,Neutral conductor,Phase count,Xa,Ya,Xb,Yb,Xc,Yc,Xn,Yn
"1318429117330246137","GIS_LGC_11m_False_0m_0m_0.7m_0m_0m_0.8m_0m_0m_2","","2887EFDC5ED241E5D5788AC67081A37FBF79638C","true","11","false","2","-0.5","0","0.7","0","0","0.8","-0.5","-0.5"
"1318429117330246136","GIS_LGC_12m_False_-1.1m_0m_0m_0m_0m_0m_0m_0m_2","","B42BE6EE1619C0E69B346DE239300D7AEE8834B2","true","12","false","2","-1.1","0","0","0","0","0","-0.5","-0.5"
"1318429117330246135","GIS_LGC_11m_False_0m_1m_0m_0m_0m_-1m_0m_0m_3","","237343D0EA1A8CDDBFF8766F6DDC0900B774DD4D","true","11","false","3","0","1","0","0","0","-1","-0.5","-0.5"
"1318429117330246134","GIS_LGC_10m_False_-1.1m_0m_0m_0.8m_0m_0m_0m_0m_2","","75ACD55456980BE2E64ABA2BC60A13B1E10A7CFB","true","10","false","2","-1.1","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246132","GIS_LGC_11m_False_0m_0m_-0.6m_0m_0m_0.8m_0m_0m_2","","8C07F9EADA8AD441E4B48E02ADC5B635A7FD8DC2","true","11","false","2","-0.5","0","-0.6","0","0","0.8","-0.5","-0.5"
"1318429117330246128","GIS_LGC_10m_False_-1.1m_0m_0m_0.8m_1.1m_0m_0m_0m_3","","059BBE3BFC0E01D63A10629749817C5ECDFC0D4D","true","10","false","3","-1.1","0","0","0.8","1.1","0","-0.5","-0.5"
"1318429117330246127","GIS_LGC_10m_False_-1.1m_0m_0m_0m_1.1m_0m_0m_0m_3","","C6593651EBC4019DD8E6FB47097D74DA1119F453","true","10","false","3","-1.1","0","0","0","1.1","0","-0.5","-0.5"
"1318429117330246125","GIS_LGC_11m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","A200FDD3D76F1BCEEE097D3FDFC371CCEF9B8A4C","true","11","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
"1318429117330246124","GIS_LGC_10m_False_-1.1m_0m_0m_0m_0m_0.8m_0m_0m_2","","F826426E3196FABEAB6976CAB7F9611BFC5490ED","true","10","false","2","-1.1","0","0","0","0","0.8","-0.5","-0.5"
"1318429117330246120","GIS_LGC_11m_False_-1.1m_0m_0m_0m_0m_0m_0m_0m_2","","07DD0C58AB790BBB92410F5A77E5708506CD13F1","true","11","false","2","-1.1","0","0","0","0.5","0","-0.5","-0.5"
