,job_id,job_name,step_name,version
326,3934,20220802613,Promover en ADMS,CMVALLEJO.GIS20220802613_NWO
327,4610,20220803164,Definir,.
328,4649,20220803172,Finalizado,OCARDENAS.GIS20220803172_NWO
329,4650,20220803180,Editar Prediseño,.
330,3908,20220802680,Prediseño en StandBy,.
331,3909,20220802729,Prediseño en StandBy,.
332,5159,20220803717, Enviar a ADMS,DAARBELAEZ.GIS20220803717_NWO
333,5304,20220803733,Revisar Prediseño,.
334,4182,20220802710,Prediseño en StandBy,.
335,6097,20220804578,Definir,.
336,4625,20220802941,Editar Prediseño,MMONTENEGRO.GIS20220802941_NWO_PO
337,4626,20220802958,Prediseño en StandBy,.
338,5206,20220804081, Publicar TQ en Productivo,JMPARRA.GIS20220804081_WO400482049_PO
339,5207,20220804101,Promover en ADMS,JIDROBO.GIS20220804101_WO400482055_PO
340,5208,20220804111,Finalizado,JGARZONG.GIS20220804111_WO400482034_PO
341,5279,20220804365,Promover en ADMS,JNGAVIRIA.GIS20220804365_WO400482046_PO
342,5280,20220804373,Promover en ADMS,DSEGURA.GIS20220804373_WO400481992_PO
343,6098,20220804586,Definir,.
344,5791,20220804594,Definir,.
345,4627,20220802966,Finalizado,.
346,5209,20220804144,Revisión TQ,CMVALLEJO.GIS20220804144_WO400482037_PO
347,4497,20220802761,Definir,.
348,5244,20220804381,Promover en ADMS,CMVALLEJO.GIS20220804381_WO400482054_PO
349,6099,20220804608,Definir,.
350,4577,20220802850,Editar Prediseño,.
351,4611,20220803229,Promover en ADMS,PSILVA.GIS20220803229_WO400402774_PO
352,5210,20220804152,Promover en ADMS,AMVELEZ.GIS20220804152_WO400482042_PO
353,5211,20220804160,Promover en ADMS,JIDROBO.GIS20220804160_WO400481922_PO
354,5212,20220804187,Revisar Prediseño,.
355,5465,20220804391,Espera Confirmación ADMS,AMVELEZ.GIS20220804391_WO400481949_PO
356,5245,20220804403,Espera Confirmación ADMS,JIDROBO.GIS20220804403_WO400471057_PO
357,6100,20220804624,Definir,.
358,6417,20220804632,Prediseño en StandBy,.
359,4612,20220803253,Promover en ADMS,JNGAVIRIA.GIS20220803253_WO400465535_PO
360,4613,20220803288,Promover en ADMS,ALSOLANO.GIS20220803288_WO400474242_PO
361,5213,20220804209,Promover en ADMS,JGARZONG.GIS20220804209_WO400481929_PO
362,5246,20220804411,Revisión TQ,HRRODRIGUEZS.GIS20220804411_WO400471056_PO
363,5466,20220804421,Finalizado,OCARDENAS.GIS20220804421_WO400465785_PO
364,6497,20220804731,Promover en ADMS,AMVELEZ.GIS20220804731_WODI_PS_028_16_PO
365,6498,20220804748,Prediseño en StandBy,JNGAVIRIA.GIS20220804748_NWO
366,5777,20220803938,Promover en ADMS,PSILVA.GIS20220803938_WO400443858_PO
367,5778,20220803946,Finalizado,OIZQUIERDO.GIS20220803946_NWO
368,5215,20220804233, Enviar a ADMS,HRRODRIGUEZS.GIS20220804233_WO400464346_PO
369,4177,20220802621,Definir,.
370,5467,20220804438,Definir,.
371,6418,20220804640,Definir,.
372,6419,20220804659,Promover en ADMS,DSEGURA.GIS20220804659_WODI_PS_028_41_PO
373,5779,20220803954,Promover en ADMS,DSEGURA.GIS20220803954_WO400482006_PO
